id	declaration	module	label	kind	migration_kind	source_declaration	source_commit	dependencies	type_sha256	notes
NCG-AMP-001	NativeCarryGeometry.Measure.deformedAmplitude_sq_eq_massWeight	NativeCarryGeometry.Measure.QuadraticAmplitude	Deformed Amplitude Energy Identity	theorem	renamed_wrapper	CPFormal.Carry.Cp.branchAmplitude_sq_eq_massWeight	f65e778a7628e01e209133ce791f4eda3c99312e	-	5ca952f96bd6769f35dbb218a94395805dba0cb94f2d9b3b1eaaf2fe382c2e6a	Direct public wrapper of the historical result.
NCG-AMP-002	NativeCarryGeometry.Measure.deformedAmplitude_sq_eq_carryMass_iff	NativeCarryGeometry.Measure.QuadraticAmplitude	Local Quadratic Amplitude Rigidity	theorem	renamed_wrapper	CPFormal.Analytic.Cp.branchAmplitude_sq_eq_criticalMass_iff_of_one_lt	d74e3b310db28caf5ffe7f59fa6c9cd8ec747cef	-	9cc535fdba9ec103b085a89feb373be9c4c0c550b832ca9166fd46d24a2109db	Direct public wrapper of the historical result.
NCG-AMP-003	NativeCarryGeometry.Measure.positionalMassCompatible_iff	NativeCarryGeometry.Measure.QuadraticAmplitude	Global Quadratic Amplitude Rigidity	theorem	renamed_wrapper	CPFormal.Analytic.Cp.positionalCarryMassCompatible_iff	d74e3b310db28caf5ffe7f59fa6c9cd8ec747cef	-	0fe9d4952ad7bb54894469d1b9a02bb6e84564415b869db9b63b68957096bd75	Direct public wrapper of the historical result.
NCG-AMP-004	NativeCarryGeometry.Measure.radialBranchEnergy_eq_one_iff	NativeCarryGeometry.Measure.QuadraticAmplitude	Radial Branch Saturation	theorem	renamed_wrapper	CPFormal.Analytic.Cp.branchNormSq_eq_one_iff_of_one_lt	d74e3b310db28caf5ffe7f59fa6c9cd8ec747cef	-	a4771e96296f9004673bc9f8a72cbb3478b5bc41a3522f52f6f070db3b7119c4	Direct public wrapper of the historical result.
NCG-AMP-005	NativeCarryGeometry.Measure.radialBranchSaturation_base_independent	NativeCarryGeometry.Measure.QuadraticAmplitude	Base Independence of Saturation	theorem	renamed_wrapper	CPFormal.Analytic.Cp.branchNormSq_eq_one_base_independent	d74e3b310db28caf5ffe7f59fa6c9cd8ec747cef	-	4921e7da84baf2c577c056c9c1be33a0a33d09198243f4538f5986b243fbc471	Direct public wrapper of the historical result.
NCG-AMP-006	NativeCarryGeometry.Measure.positionalMassCompatible_iff_realEnergyCompatible	NativeCarryGeometry.Operator.QuadraticDomain	Quadratic Domain Crosswalk	theorem	reproved_composed	CPFormal.Analytic.Cp.positionalCarryMassCompatible_iff_realEnergyCompatible	d8d905b3653a03e5a0d3ed09b2c096e351c060b2	NCG-AMP-003,NCG-REA-003	8ee7ff97dba3a7f4f26b351e126232715ba3a9664c140b6f046f6757bb43facf	The crosswalk is downstream of both the carry measure and real state; it does not inject mass into the operator.
NCG-AMP-007	NativeCarryGeometry.Measure.radialBranchEnergy_half_eq_one	NativeCarryGeometry.Measure.QuadraticAmplitude	Critical Radial Branch Saturation	theorem	composed_new	-	-	NCG-AMP-004	881a6da1f8b65eeec943040e81cf341405af7587b322340dbbe09b88d99a64f1	New registered corollary at the critical radial value.
NCG-AMP-008	NativeCarryGeometry.Measure.radialBranchEnergy_half_ne_zero	NativeCarryGeometry.Measure.QuadraticAmplitude	Critical Radial Branch Nondegeneracy	theorem	composed_new	-	-	NCG-AMP-007	0df033af6a57b18cc5ccde3053bdd1a905fa51b4dbe2c2133c10284ca5a7b7da	New registered nondegeneracy corollary; no exact historical declaration was found.
NCG-ANL-001	NativeCarryGeometry.Analytic.finiteBracketChart_eq_two_prefixes	NativeCarryGeometry.Analytic.FiniteBracketChart	Finite Power-Sum Factorization	theorem	renamed_wrapper	CPFormal.Analytic.Cp.finiteChart_dirichlet_eq_two_prefixes	370d2ab1c66e990a512b42161c097c8ef8c5ec2a	-	3606536bf3cf484c6828cd1dcc7f2eb19525afdb19dfef4644487025e28b13b5	Direct public wrapper of the historical result.
NCG-ANL-002	NativeCarryGeometry.Analytic.finiteBracketChart_tendsto_bracketSeries	NativeCarryGeometry.Analytic.BracketSeries	Bracket-Series Convergence	theorem	renamed_wrapper	CPFormal.Analytic.Cp.finiteChart_dirichlet_tendsto_bracketedDirichletChart	af30c410ed6c68f4f4d9a35a4d88435a592b55c8	-	cc52424eb80335ea68e16e2a68fd21c875f3f6a11c4ebfa8b632e851de73ce4e	Direct public wrapper of the historical result.
NCG-ANL-003	NativeCarryGeometry.Analytic.analyticOnNhd_bracketSeries	NativeCarryGeometry.Analytic.BracketHolomorphy	Holomorphy of the Bracket Series	theorem	renamed_wrapper	CPFormal.Analytic.Cp.analyticOnNhd_bracketedDirichletChart	68021453b7104f6e561933e41b2b1ea12e4a64c3	-	453d79c343214b4cb135748339783b034fcf73a8ae6ad19b656a2bcc0e3656aa	Direct public wrapper of the historical result.
NCG-ANL-004	NativeCarryGeometry.Analytic.cameraNormalizationFactor_ne_zero	NativeCarryGeometry.Analytic.CanonicalContinuation	Camera-Factor Nonvanishing	theorem	renamed_wrapper	CPFormal.Analytic.Cp.cpChartFactor_ne_zero_on_genuineCriticalStrip	3d9a7268cfbd467a415d72911e1f752e0c5efbe7	-	a501cf7b1c4b018cb99e3ba2801b8aa0b2687a1e4424e1d22681591c87ed6368	Direct public wrapper of the historical result.
NCG-ANL-005	NativeCarryGeometry.Analytic.normalizedBracketChart_camera_independent	NativeCarryGeometry.Analytic.CanonicalContinuation	Camera Compatibility	theorem	renamed_wrapper	CPFormal.Analytic.Cp.cpGenuineQuotient_eq_cpGenuineQuotient	45e99117770d3910770829e4afa9866664cd5711	-	72a94ab86579b728071e6525231db17665e09ee851e264914352d74b730b1bd1	Direct public wrapper of the historical result.
